ID,ID_DEPARTAMENTO,ACUMULADO_VENTAS,ID_TURNO,ACUMULADO_GANANCIAS
1,1,960.0,9,160.0
3,8,680.0,9,75.32
4,6,106.0,9,47.65
2,4,60.0,9,30.0
5,7,2620.0,9,373.81
6,9,933.0,9,172.47
7,10,75.0,9,21.81
22,6,625.0,12,309.65
23,8,840.0,12,149.68
12,8,22.0,10,3.84
24,5,431.0,12,99.34
13,11,80.0,10,65.0
25,9,951.0,12,164.21
14,10,20.0,10,6.0
26,11,251.0,12,116.17
27,7,2361.0,12,445.74
30,7,4957.0,13,748.698
31,5,27.0,13,7.0
38,9,1209.0,14,204.87
43,10,163.0,14,47.59
46,6,245.0,15,116.2
39,7,2319.0,14,394.526
15,12,3.0,10,1.75
32,12,70.0,13,35.28
40,12,31.0,14,11.61
41,6,783.0,14,267.15
16,6,284.0,11,99.95
47,9,315.0,15,53.01
17,11,8.0,11,3.96
18,7,1390.0,11,205.92
33,11,186.0,13,108.12
19,9,242.0,11,36.5
53,6,920.0,16,420.9
20,12,41.0,11,11.26
8,5,52.0,9,16.0
21,10,38.0,11,10.0
28,12,39.0,12,18.76
54,8,85.0,16,11.02
60,11,57.0,16,25.15
48,11,68.0,15,30.52
34,6,982.0,13,413.7
55,7,1844.0,16,286.294
42,11,77.0,14,29.71
29,10,216.0,12,69.15
56,10,265.0,16,75.25
9,7,730.0,10,146.99
10,6,62.0,10,32.6
62,7,9298.0,17,1338.73
49,7,681.0,15,114.37
61,5,79.0,16,23.0
72,6,7451.0,18,3116.4
57,14,30.0,16,24.0
63,11,683.0,17,215.31
58,9,1900.0,16,328.9
11,9,384.0,10,61.59
50,10,20.0,15,6.0
35,9,678.0,13,117.36
51,12,17.0,15,3.72
64,6,2644.0,17,1182.6
59,12,61.0,16,30.6
73,10,3239.0,18,845.06
36,10,251.0,13,72.21
74,9,13580.0,18,2277.6
37,8,630.0,13,154.02
75,12,808.0,18,241.88
65,9,2035.0,17,353.24
44,8,286.0,14,53.56
52,8,276.0,15,58.08
82,6,4163.0,19,1699.35
92,9,3254.0,20,689.5683
45,5,25.0,14,9.0
76,5,1077.0,18,270.0114
77,7,32112.0,18,4774.988
83,10,1527.0,19,394.69
102,7,6757.0,21,952.9
66,8,865.0,17,187.62
93,7,14910.0,20,2979.706
78,11,1595.0,18,428.06
67,14,70.0,17,24.5
84,7,13665.0,19,1921.798
94,6,3711.0,20,1454.45
103,11,459.0,21,119.28
104,6,2443.0,21,904.9
95,12,308.0,20,86.91
68,10,766.0,17,208.78
69,12,255.0,17,109.26
110,7,13476.0,22,1886.67
85,12,251.0,19,88.74
120,9,529.0,23,111.1012
86,5,411.0,19,96.9469
127,10,371.0,24,85.9
96,1,212.0,20,212.0
87,9,6052.0,19,1124.3524
111,6,3265.0,22,1306.55
134,5,103.0,24,29.0769
128,11,230.0,24,68.29
121,7,740.0,23,83.18
122,11,41.0,23,12.15
97,14,80.0,20,35.5
135,8,207.0,24,54.68
123,5,22.0,23,8.0769
105,12,107.0,21,36.57
112,12,211.0,22,69.82
106,10,750.0,21,179.46
113,9,3861.0,22,767.5052
129,6,542.0,24,189.1
107,9,2574.0,21,553.9499
108,1,43.0,21,43.0
114,8,373.0,22,99.84
88,8,718.0,19,153.58
130,7,7005.0,24,893.63
124,6,54.0,23,19.9
79,8,2285.0,18,449.74
89,11,601.0,19,149.07
115,10,1550.0,22,365.91
116,11,714.0,22,191.07
136,6,455.0,25,196.7
131,9,1196.0,24,212.8015
145,6,1066.0,26,396.35
98,10,1041.0,20,251.91
125,8,132.0,23,23.04
137,12,60.0,25,18.38
132,12,60.0,24,17.68
126,10,21.0,23,4.34
138,9,294.0,25,64.9268
133,1,70.0,24,70.0
142,11,61.0,25,17.77
139,10,73.0,25,21.15
99,11,2636.0,20,841.31
140,8,345.0,25,87.32
141,7,2182.0,25,370.01
143,1,2.0,25,2.0
154,6,29.0,27,15.65
155,10,72.0,27,18.68
146,7,1807.0,26,254.48
144,14,20.0,25,5.5
156,9,332.0,27,73.8667
147,11,211.0,26,56.51
157,8,22.0,27,3.84
148,10,558.0,26,141.27
70,5,162.0,17,46.0
158,7,270.0,27,63.5
159,12,25.0,27,7.48
160,1,25.0,27,25.0
162,7,13476.0,28,1795.78
161,11,22.0,27,5.7
163,6,2257.0,28,776.45
164,12,183.0,28,71.02
165,10,786.0,28,206.86
167,1,278.0,28,278.0
149,9,733.0,26,157.8134
168,5,1166.0,28,152.2307
117,1,76.0,22,76.0
166,9,3132.0,28,644.9214
169,11,656.0,28,180.69
172,7,8990.0,29,1134.7
182,1,383.0,30,383.0
170,8,1130.0,28,198.04
109,8,203.0,21,36.88
173,11,380.0,29,91.86
183,10,361.0,30,83.6
80,1,193.0,18,125.5
174,8,597.0,29,129.36
175,6,786.0,29,238.2242
184,6,1365.0,30,460.45
176,9,1400.0,29,280.6752
191,10,208.0,31,47.9874
185,5,415.0,30,95.0769
100,5,434.0,20,107.2669
177,14,10.0,29,5.0
192,7,2685.0,31,505.97
193,8,633.0,31,91.29
171,14,50.0,28,25.0
178,12,47.0,29,12.66
186,9,2022.0,30,396.5423
194,6,1116.0,31,376.6
150,12,48.0,26,18.06
195,9,1411.0,31,291.3885
118,5,989.0,22,259.6538
196,12,64.0,31,14.14
179,1,75.0,29,75.0
187,12,101.0,30,36.65
188,7,5585.0,30,779.19
200,8,2243.0,32,430.72
201,7,26405.0,32,3845.3952
197,11,44.0,31,13.66
199,14,20.0,31,5.5
202,11,1008.0,32,284.99
198,1,40.0,31,40.0
203,6,5865.0,32,2048.0605
204,9,6757.0,32,1378.1418
205,12,398.0,32,127.67
206,10,1535.0,32,377.8195
207,1,165.0,32,165.0
208,5,1595.0,32,330.7283
151,5,62.0,26,21.4169
210,7,18846.0,33,2791.3478
211,6,2574.0,33,1004.2342
213,10,885.0,33,229.2821
209,14,160.0,32,53.0
212,12,283.0,33,107.27
214,11,395.0,33,113.93
218,1,101.0,33,101.0
215,9,4296.0,33,869.0406
216,8,1446.0,33,283.0505
220,6,751.0,34,325.13
219,5,331.0,33,52.1053
101,8,1827.0,20,377.53
221,12,31.0,34,9.78
222,7,3088.0,34,499.319
223,9,1603.0,34,304.041
224,14,10.0,34,5.0
225,11,181.0,34,47.59
180,10,201.0,29,43.66
226,10,256.0,34,70.6894
229,7,18207.0002,35,2843.2882
227,1,36.0,34,36.0
230,11,588.0,35,168.65
231,6,2136.0,35,889.1142
217,14,170.0,33,58.0
81,14,120.0,18,33.0
181,5,1069.0,29,202.7
119,14,60.0,22,21.0
152,14,30.0,26,15.0
153,1,1.0,26,1.0
189,11,168.0,30,42.5
190,8,538.0,30,107.02
71,1,4.0,17,4.0
90,14,40.0,19,20.0
91,1,292.0,19,292.0
228,8,76.0,34,17.347
232,8,1131.0,35,201.9478
233,9,3541.0,35,674.1487
239,15,6.0,35,1.85
234,12,273.0,35,89.7172
235,10,571.0,35,153.7375
238,14,30.0,35,10.5
240,6,186.0,36,96.46
236,1,150.0,35,108.0
241,12,36.0,36,16.94
245,10,148.0,37,38.6868
242,7,455.0,36,81.3114
246,8,343.0,37,64.6911
247,6,512.0,37,228.1721
243,14,10.0,36,5.0
244,9,280.0,36,47.2205
248,7,2935.0,37,389.734
249,12,54.0,37,18.89
255,9,10797.0,38,1753.9884
256,6,4145.0,38,1720.5105
251,5,112.0,37,35.0453
237,5,616.0,35,153.6128
257,7,26177.9998,38,3738.204
265,10,458.0,39,104.3476
266,8,790.0,39,175.0
267,6,1338.0,39,483.5821
252,11,79.0,37,22.11
270,11,247.0,39,121.59
271,1,24.0,39,24.0
268,12,280.0,39,109.91
272,9,1835.0,39,308.5745
250,9,1483.0,37,238.9243
276,9,3312.0,40,628.2904
273,14,30.0,39,10.5
253,14,20.0,37,10.0
258,10,2119.0,38,521.8041
274,5,303.0,39,82.3366
275,15,6.0,39,1.85
269,7,8464.0,39,1464.304
277,7,9853.0,40,1876.0345
254,1,5.0,37,5.0
278,12,213.0,40,69.4318
279,6,3166.0,40,957.8021
287,6,858.0,41,294.93
283,5,164.0,40,38.3322
286,8,494.0,40,79.08
280,10,1196.0,40,299.9077
288,7,11019.0,41,1953.3036
285,15,12.0,40,3.7
292,1,18.0,41,18.0
289,9,3253.0,41,590.1675
293,11,339.0,41,158.64
259,8,1221.0,38,250.4
296,7,5797.0,42,1066.9063
297,12,179.0,42,56.3395
260,5,1395.0,38,298.1367
261,12,452.0,38,147.0854
298,8,608.0,42,144.54
290,12,48.0,41,17.53
281,11,398.0,40,132.39
299,1,36.0,42,36.0
282,1,65.0,40,65.0
291,10,297.0,41,73.5102
262,11,1068.0,38,472.26
300,6,839.0,42,315.1121
301,9,1120.0,42,197.1804
302,10,523.0,42,137.1726
303,11,324.0,42,140.15
295,5,27.0,41,7.1669
294,8,340.0,41,44.08
284,14,10.0,40,5.0
306,9,1894.0,43,332.8202
307,6,1105.0,43,451.17
308,7,3560.0,43,671.0064
309,10,496.0,43,126.9143
310,11,296.0,43,117.2
311,12,125.0,43,36.3265
304,5,27.0,42,7.1669
305,14,50.0,42,15.93
312,1,6.0,43,6.0
313,14,43.0,43,13.5
314,12,15.0,44,5.16
315,6,85.0,44,36.86
316,7,40.0,44,7.84
317,11,22.0,44,6.83
320,6,5611.0,45,2042.4021
318,9,45.0,44,8.7326
319,10,45.0,44,11.1082
326,9,7670.0,45,1389.7542
324,7,19975.0,45,3943.9134
321,11,1681.0,45,653.26
322,10,1941.0,45,521.7967
323,14,242.0,45,61.0
325,12,687.0,45,215.899
327,1,141.0,45,141.0
330,9,1072.0,46,194.6688
328,8,729.0,45,177.08
331,6,918.0,46,380.4121
332,10,726.0,46,182.2636
333,7,3995.0,46,774.9098
334,11,345.0,46,155.37
340,7,8300.0,47,1599.6497
341,6,1664.0,47,584.2
335,12,18.0,46,6.53
342,10,751.0,47,193.9233
348,11,283.0,47,147.04
349,14,40.0,47,9.5
351,6,461.0,48,198.23
263,1,287.0,38,273.0
329,5,751.0,45,162.1976
350,15,12.0,47,3.7
336,1,31.0,46,31.0
337,8,208.0,46,54.0
352,10,167.0,48,41.2883
343,9,3956.0,47,683.3056
344,1,76.0,47,76.0
353,12,69.0,48,23.47
354,7,1283.0,48,235.6397
338,14,30.0,46,10.5
355,9,435.0,48,73.1248
356,11,91.0,48,40.67
357,8,85.0,48,22.54
345,12,163.0,47,45.42
339,15,36.0,46,11.1
358,14,40.0,48,15.43
359,5,340.0,48,81.7
360,6,1064.0,49,422.6321
361,7,5341.0,49,972.0598
362,1,24.0,49,24.0
371,12,371.0,50,124.2568
372,8,1008.0,50,200.14
363,12,143.0,49,60.7478
373,7,12176.0,50,2295.07
374,9,3041.0,50,526.5274
381,7,9780.0,51,1916.17
386,6,1921.0,51,656.37
382,10,892.0,51,227.4356
346,8,1124.0,47,200.19
375,6,2551.0,50,933.9205
387,12,209.0,51,61.0856
383,9,2086.0,51,368.4569
384,1,83.0,51,83.0
364,10,414.0,49,105.9019
388,8,631.0,51,198.07
389,5,630.0,51,152.0
365,11,207.0,49,90.82
366,14,23.0,49,7.93
390,15,12.0,51,3.7
264,14,120.0,38,51.0
367,8,287.0,49,61.0
385,11,282.0,51,97.17
368,9,2216.0,49,376.0817
391,14,10.0,51,5.0
347,5,990.0,47,144.2
392,7,2573.0,52,559.54
393,10,129.0,52,35.17
401,7,23397.0,53,4400.51
369,5,194.0,49,49.02
394,11,88.0,52,27.66
402,5,1391.0,53,324.5921
379,14,70.0,50,18.93
395,9,1168.0,52,195.5091
396,6,769.0,52,283.53
376,10,1222.0,50,306.6678
377,11,565.0,50,213.2
403,10,1550.0,53,408.1546
404,9,3283.0,53,554.9324
397,12,28.0,52,9.34
405,6,3655.0,53,1395.3842
411,7,16028.0,54,3203.91
406,12,323.0,53,104.2178
412,6,3320.0,54,1221.5442
421,7,6738.0,55,1445.91
422,9,2697.0,55,512.5998
398,8,223.0,52,76.02
423,6,1854.0,55,525.4621
399,1,47.0,52,47.0
431,10,2004.0,56,492.7435
413,9,8083.0,54,1405.5851
424,11,356.0,55,123.77
432,5,2942.0,56,444.3465
433,12,502.0,56,167.0278
434,7,25054.0,56,5659.8
425,12,121.0,55,35.8856
414,10,1647.0,54,416.3301
378,1,82.0,50,82.0
435,6,5616.0,56,1894.4321
426,10,636.0,55,172.6747
415,12,286.0,54,83.5256
436,8,2112.0,56,548.39
437,11,1225.0,56,485.55
438,1,260.0,56,260.0
439,9,11465.0,56,1977.1927
440,14,70.0,56,23.86
407,8,3394.0,53,994.2
441,10,1831.0,57,458.9224
442,6,4834.0,57,1661.8142
400,14,10.0,52,3.0
443,12,349.0,57,111.7056
427,5,206.0,55,52.3064
444,7,25732.0,57,6128.22
445,9,10309.0,57,1800.8922
446,11,1470.0,57,539.76
416,11,677.0,54,282.33
447,1,318.0,57,318.0
417,14,160.0,54,38.0
449,8,3031.0,57,860.84
452,7,4830.0,58,1169.43
451,15,18.0,57,5.55
453,9,1383.0,58,229.71
455,15,18.0,58,5.55
428,1,52.0,55,52.0
418,1,560.0,54,560.0
454,10,209.0,58,48.105
456,11,84.0,58,23.16
457,6,843.0,58,185.4
458,12,48.0,58,13.16
459,8,670.0,58,197.09
450,14,40.0,57,13.43
460,5,405.0,58,107.34
448,5,263.0,57,63.1608
408,1,163.0,53,163.0
462,9,16699.0,59,2898.92
461,1,10.0,58,10.0
463,5,1298.0,59,282.0726
419,8,172.0,54,48.9
409,11,778.0,53,341.01
410,14,50.0,53,12.93
429,8,411.0,55,103.39
370,15,24.0,49,7.4
380,5,714.0,50,194.51
420,5,1061.0,54,105.6769
430,14,20.0,55,5.5
464,12,296.0,59,92.53
465,10,2720.0,59,664.2309
466,7,42287.0,59,8577.96
472,7,44245.0,60,10067.74
467,14,60.0,59,17.43
473,9,8978.0,60,1687.53
468,6,5539.0,59,1861.2236
474,1,303.0,60,303.0
475,10,2265.0,60,564.3595
482,15,24.0,60,7.4
481,14,20.0,60,5.5
470,8,1635.0,59,461.02
469,11,1240.0,59,377.84
471,1,615.0,59,615.0
476,11,1277.0,60,363.97
477,8,3346.0,60,871.42
478,6,4316.0,60,1540.9936
483,10,279.0,61,62.66
484,6,647.0,61,201.3718
485,9,1002.0,61,180.43
479,12,336.0,60,109.3658
486,7,2828.0,61,705.39
491,6,3531.0,62,1230.2118
480,5,587.0,60,160.5139
492,9,6741.0,62,1216.58
487,8,215.0,61,57.0
488,1,40.0,61,40.0
