ID,CODIGO,DESCRIPCION,TVENTA,PCOSTO,PVENTA,DEPT,PROVID,UMEDIDA,MAYOREO,IPRIORIDAD,DINVENTARIO,DINVMINIMO,DINVMAXIMO,CHECADO_EN,PORCENTAJE_GANANCIA,IMPUESTOS,PVENTA_ANTERIOR,PCOSTO_ANTERIOR,PMAYOREO_ANTERIOR,MEDIDA_ID,PFINAL,PMAYOREOFINAL,ES_KIT,USA_INVENTARIO,ELIMINADO_EN
1,1-ESETYzCUmoKftioPQD,Coca Cola 3L,U,100.0,120.0,1,-1,256372512,0.0,,,0.0,0.0,,20.0,,0.0,0.0,0.0,1,120.0,0.0,f,f,2024-10-02 19:40:14
2,7503023578301-AMLfZg,Brandy Compadre,U,30.0,60.0,1,-1,349917664,0.0,,,4.0,10.0,2024-09-14,100.0,,0.0,0.0,0.0,1,60.0,0.0,f,t,2024-09-14 14:46:49
99,CRONCHO,Bolsa Croncho,U,6.0,15.0,11,-1,295820032,0.0,,,0.0,0.0,2025-07-04,150.0,,18.67,3.5,0.0,1,15.0,0.0,f,t,
100,BORRACHITO,Borrachito,U,1.25,3.0,12,-1,295820032,0.0,,,0.0,0.0,,140.0,,0.0,0.0,0.0,1,3.0,0.0,f,t,
4,7503001506128,Mezcalito,U,20.5,25.0,5,-1,339912160,0.0,,,0.0,0.0,2025-12-27,21.951,,20.0,13.35,0.0,1,25.0,0.0,f,t,
5,7503023578295,Brandy Don Pedro,U,38.0,50.0,5,-1,339912160,0.0,,,0.0,0.0,2024-09-14,31.579,,0.0,0.0,0.0,1,50.0,0.0,f,t,
3,7503023578301,Brandy Presidente 200ml,U,35.06,47.0,5,-1,342971360,0.0,,,0.0,0.0,2024-09-14,34.06,,0.0,0.0,0.0,1,47.0,0.0,f,t,
6,5410316950527,Smirnoff Tamarindo,U,230.0,290.0,5,-1,339912160,290.0,,,0.0,0.0,2026-02-22,26.09,,250.0,204.0,0.0,1,290.0,290.0,f,t,
101,724869002295,Cacahuate Japones De La Rosa,U,4.04,8.0,11,-1,295820032,0.0,,,0.0,0.0,,98.02,,0.0,0.0,0.0,1,8.0,0.0,f,t,
102,MAZA,Mazapan De La Rosa,U,5.58,10.0,12,-1,295820032,0.0,,,0.0,0.0,,79.212,,0.0,0.0,0.0,1,10.0,0.0,f,t,
103,724869055550,Chocolate Nugs,U,4.42,8.0,12,-1,295820032,0.0,,,0.0,0.0,,80.996,,0.0,0.0,0.0,1,8.0,0.0,f,t,
7,50196135,Whisky Black&White,U,193.0,265.0,5,-1,339912160,300.0,,,0.0,0.0,,37.306,,0.0,0.0,0.0,1,265.0,300.0,f,t,
8,749787600163,Tequila Cabrito,U,160.0,190.0,5,-1,339912160,195.0,,,0.0,0.0,,18.75,,185.0,0.0,210.0,1,190.0,195.0,f,t,
9,20,Caja Cigarros Pall Mall,U,90.0,97.0,6,-1,339912160,103.0,,,0.0,0.0,2026-01-05,7.78,,85.0,75.0,90.0,1,97.0,103.0,t,t,
10,CSP,Cigarro Suelto Pall Mall,U,4.5,9.0,6,-1,339912160,0.0,,,0.0,0.0,2026-01-05,100.0,,8.0,3.75,0.0,1,9.0,0.0,f,t,
11,7503034941774,Bote Pacifico Suave 410ml,U,17.25,22.0,7,-1,339912160,28.0,,,0.0,0.0,2025-12-19,27.536,,25.0,16.0,0.0,1,22.0,28.0,f,t,
12,6PS4,6 Bote Suave 410,U,103.5,125.0,7,-1,339912160,135.0,,,0.0,0.0,2025-12-19,20.77,,120.0,96.0,130.0,1,125.0,135.0,t,t,
13,7501064103100,Cuartito Corona Extra,U,9.04,12.0,8,-1,339912160,14.0,,,0.0,0.0,2025-12-18,32.743,,11.0,8.0,0.0,1,12.0,14.0,f,t,
14,24CCE,24 Cuartito Corona Extra,U,217.0,250.0,8,-1,339912160,250.0,,,0.0,0.0,2025-12-18,15.21,,230.0,192.0,0.0,1,250.0,250.0,t,t,
15,7501064199325,Media Pacifico Suave,U,16.66,22.0,8,-1,339912160,24.0,,,0.0,0.0,,32.053,,0.0,0.0,0.0,1,22.0,24.0,f,t,
16,24MPS,24 Media Pacifico Suave,U,399.84,430.0,8,-1,339912160,450.0,,,0.0,0.0,,7.54,,0.0,0.0,0.0,1,430.0,450.0,t,t,
17,7501064101410,Media Corona Extra,U,13.48,20.0,8,-1,339912160,22.0,,,0.0,0.0,2025-12-18,48.368,,19.0,13.0,0.0,1,20.0,22.0,f,t,
18,24MCE,24 Media Corona Extra,U,323.5,400.0,8,-1,339912160,420.0,,,0.0,0.0,2025-12-18,23.65,,420.0,312.0,430.0,1,400.0,420.0,t,t,
19,7501064199387,Bote Pacifico Suave 355,U,16.5,20.0,7,-1,339912160,22.0,,,0.0,0.0,2026-02-08,21.212,,0.0,15.17,0.0,1,20.0,22.0,f,t,
20,6PSB,6 Pacifico Suave Bote 355,U,101.74,120.0,7,-1,339912160,130.0,,,0.0,0.0,2026-03-09,17.95,,115.0,99.0,120.0,1,120.0,130.0,t,t,
21,8PSB,8 Pacifico Suave Bote 355,U,135.6,153.0,7,-1,339912160,160.0,,,0.0,0.0,2026-03-09,12.83,,145.0,132.0,150.0,1,153.0,160.0,t,t,
22,7501064113024,Ballena Corona Familiar,U,35.41,43.0,9,-1,339912160,45.0,,,0.0,0.0,2025-12-18,21.435,,40.0,32.25,0.0,1,43.0,45.0,f,t,
23,7501064118029,Ballena Pacifico Amarilla,U,35.2,43.0,9,-1,339912160,45.0,,,0.0,0.0,2025-12-18,22.159,,40.0,33.7,43.0,1,43.0,45.0,f,t,
24,7501064191848,Ballenon Pacifico Amarilla,U,39.08,48.0,9,-1,339912160,50.0,,,0.0,0.0,2025-12-19,22.825,,46.0,36.0,0.0,1,48.0,50.0,f,t,
25,75026974,Cuartito Pacifico Amarillo,U,8.66,11.0,8,-1,339912160,13.0,,,0.0,0.0,2025-12-18,27.021,,0.0,7.91,0.0,1,11.0,13.0,f,t,
26,7501064193460,Media Pacifico Amarilla,U,13.91,20.0,8,-1,339912160,22.0,,,0.0,0.0,2025-12-18,43.782,,22.0,14.58,0.0,1,20.0,22.0,f,t,
27,24MPC,24 Media Pacifico Clara,U,334.0,408.0,8,-1,339912160,440.0,,,0.0,0.0,2025-12-18,22.16,,420.0,326.88,0.0,1,408.0,440.0,t,t,
28,24CPC,24 Cuartito Pacifico Clara,U,208.0,255.0,8,-1,339912160,245.0,,,0.0,0.0,2025-12-18,22.6,,250.0,189.84,240.0,1,255.0,245.0,t,t,
29,7503024460865,Bote Pacifico Amarillo 410ml,U,12.7,22.0,7,-1,339912160,28.0,,,0.0,0.0,2025-12-18,73.228,,25.0,12.79,0.0,1,22.0,28.0,f,t,
30,6PAB4,6 Pacifico Amarilla Bote 410,U,76.74,105.0,7,-1,339912160,115.0,,,0.0,0.0,2026-01-03,36.83,,100.0,0.0,105.0,1,105.0,115.0,t,t,
31,75034566,Cuartito Pacifico Light,U,8.95,11.0,8,-1,339912160,12.0,,,0.0,0.0,2025-12-18,22.91,,0.0,7.9,0.0,1,11.0,12.0,f,t,
32,24CPL,24 Cuartito Pacifico Light,U,213.0,260.0,8,-1,339912160,275.0,,,0.0,0.0,2025-12-18,22.07,,230.0,189.84,240.0,1,260.0,275.0,t,t,
33,7503044233302,Bote Corona Golden Light,U,12.87,20.0,7,-1,339912160,22.0,,,0.0,0.0,2025-12-18,55.4,,0.0,11.37,0.0,1,20.0,22.0,f,t,
34,6BCGL,6 Bote Corona Golden Light,U,77.22,95.0,7,-1,339912160,110.0,,,0.0,0.0,2025-12-18,23.03,,100.0,74.5,0.0,1,95.0,110.0,t,t,
35,8BCGL,8 Bote Corona Golden Light,U,99.33,120.0,7,-1,339912160,130.0,,,0.0,0.0,2025-10-14,20.81,,130.0,91.0,140.0,1,120.0,130.0,t,t,
36,7501064190452,Bote Pacifico Light,U,12.12,20.0,7,-1,339912160,22.0,,,0.0,0.0,2026-04-08,65.017,,20.83,10.62,0.0,1,20.0,22.0,f,t,
37,6PLB,6 Pacifico Light Bote,U,75.24,94.0,7,-1,339912160,100.0,,,0.0,0.0,2026-03-09,24.93,,90.0,72.75,0.0,1,94.0,100.0,t,t,
38,8PLB,8 Pacifico Light Bote,U,98.33,113.0,7,-1,339912160,125.0,,,0.0,0.0,2026-03-17,14.92,,115.0,100.33,120.0,1,113.0,125.0,t,t,
104,7501064199615,Bote Pacifico Amarillo,U,12.73,20.0,7,-1,295820032,22.0,,,0.0,0.0,2025-12-18,57.109,,0.0,11.25,0.0,1,20.0,22.0,f,t,
105,6BPA,6 Bote Pacifico Amarilla,U,81.76,97.0,7,-1,295820032,105.0,,,0.0,0.0,2026-03-09,18.64,,90.0,76.38,100.0,1,97.0,105.0,t,t,
39,7503034941316,Bote Corona,U,12.87,20.0,7,-1,339912160,22.0,,,0.0,0.0,2025-12-18,55.4,,0.0,11.37,0.0,1,20.0,22.0,f,t,
40,6BCL,6 Bote Corona,U,83.49,98.0,7,-1,339912160,95.0,,,0.0,0.0,2026-03-09,17.38,,100.0,77.25,0.0,1,98.0,95.0,t,t,
41,7501064193873,Bote Bud Light,U,10.6,18.0,7,-1,339912160,20.0,,,0.0,0.0,2025-12-18,69.811,,17.0,11.33,18.0,1,18.0,20.0,f,t,
42,6BBL,6 Bote Bud Light,U,63.6,75.0,7,-1,339912160,90.0,,,0.0,0.0,2025-12-18,17.92,,77.0,58.99,100.0,1,75.0,90.0,t,t,
43,7503024460018,Bote Corona Cero,U,11.54,20.0,7,-1,339912160,22.0,,,0.0,0.0,2025-12-18,73.31,,0.0,13.54,0.0,1,20.0,22.0,f,t,
44,6BCC,6 Bote Corona Cero,U,69.25,85.0,7,-1,339912160,100.0,,,0.0,0.0,2025-10-14,22.74,,100.0,81.24,110.0,1,85.0,100.0,t,t,
45,7503024460179,Mofle Corona Light 710,U,28.33,37.0,7,-1,339912160,40.0,,,0.0,0.0,,30.604,,0.0,0.0,0.0,1,37.0,40.0,f,t,
46,7501064198878,Mofle Bud Light 710,U,29.25,38.0,7,-1,339912160,40.0,,,0.0,0.0,2026-03-29,29.91,,35.0,0.0,38.0,1,38.0,40.0,f,t,
47,7501064191855,Ballenon Pacifico Light,U,38.16,48.0,9,-1,339912160,50.0,,,0.0,0.0,2025-12-18,25.786,,46.0,36.6,0.0,1,48.0,50.0,f,t,
48,7501064190483,Ballena Pacifico Light,U,35.41,43.0,9,-1,339912160,47.0,,,0.0,0.0,2025-12-18,21.435,,40.0,32.86,43.0,1,43.0,47.0,f,t,
49,7503044233463,Ballenon Corona Golden Light,U,38.16,47.0,9,-1,339912160,50.0,,,0.0,0.0,2025-12-18,23.166,,46.0,36.41,0.0,1,47.0,50.0,f,t,
50,7503024460490,Bote Modelo Especial,U,15.29,20.0,7,-1,339912160,22.0,,,0.0,0.0,2025-12-18,30.804,,0.0,14.58,0.0,1,20.0,22.0,f,t,
51,6BME,6 Bote Modelo Especial,U,98.25,115.0,7,-1,339912160,125.0,,,0.0,0.0,2026-03-09,17.05,,110.0,91.7,120.0,1,115.0,125.0,t,t,
52,8BME,8 Bote Modelo Especial,U,131.0,150.0,7,-1,339912160,160.0,,,0.0,0.0,2026-03-17,14.5,,145.0,122.3,155.0,1,150.0,160.0,t,t,
53,75027278,Media Modelo Especial,U,17.75,23.0,8,-1,339912160,25.0,,,0.0,0.0,2025-12-18,29.578,,22.0,0.0,0.0,1,23.0,25.0,f,t,
54,75027285,Media Modelo Negra,U,18.5,24.0,8,-1,339912160,27.0,,,0.0,0.0,,29.73,,23.0,0.0,25.0,1,24.0,27.0,f,t,
55,7503024460070,Ballenon Negra Modelo,U,38.25,48.0,9,-1,339912160,50.0,,,0.0,0.0,,25.49,,45.0,0.0,0.0,1,48.0,50.0,f,t,
56,7501064198519,Ballenon Modelo Especial,U,39.0,48.0,9,-1,339912160,53.0,,,0.0,0.0,2025-12-18,23.077,,45.0,35.16,50.0,1,48.0,53.0,f,t,
57,7501064191886,Laton Modelo Especial 410,U,17.25,25.0,7,-1,339912160,28.0,,,0.0,0.0,2025-12-18,44.928,,28.0,17.69,32.0,1,25.0,28.0,f,t,
58,7503024460889,Mofle Modelo Especial,U,33.91,42.0,7,-1,339912160,43.0,,,0.0,0.0,2025-12-18,23.857,,40.0,33.0,0.0,1,42.0,43.0,f,t,
106,8BPA,8 Bote Pacifico Amarilla,U,109.0,125.0,7,-1,295820032,135.0,,,0.0,0.0,2026-03-17,14.68,,118.0,103.5,125.0,1,125.0,135.0,t,t,
107,7503031287189,Chocolatinas,U,7.79,10.0,12,-1,295820032,0.0,,,0.0,0.0,,28.37,,0.0,0.0,0.0,1,10.0,0.0,f,t,
59,7501064194504,Bote Ultra 355,U,14.58,20.0,7,-1,339912160,25.0,,,0.0,0.0,2025-12-18,37.174,,22.0,13.7,0.0,1,20.0,25.0,f,t,
60,6BU,6 Bote Ultra 355,U,92.49,110.0,7,-1,339912160,115.0,,,0.0,0.0,2026-03-09,18.93,,105.0,87.49,130.0,1,110.0,115.0,t,t,
61,7503034941347,Cuartito Ultra,U,11.83,15.0,8,-1,339912160,18.0,,,0.0,0.0,,26.796,,0.0,0.0,0.0,1,15.0,18.0,f,t,
62,24CU,24 Cuartito Ultra,U,283.92,320.0,8,-1,339912160,340.0,,,0.0,0.0,,12.71,,0.0,0.0,0.0,1,320.0,340.0,t,t,
63,7501064199301,Laton Ultra,U,19.45,29.0,7,-1,339912160,32.0,,,0.0,0.0,,49.1,,28.0,0.0,0.0,1,29.0,32.0,f,t,
64,6CU,6 Cuartito Ultra,U,70.98,80.0,8,-1,339912160,90.0,,,0.0,0.0,,12.71,,0.0,0.0,0.0,1,80.0,90.0,t,t,
65,7503024460896,Mofle Ultra,U,32.16,40.0,7,-1,339912160,0.0,,,0.0,0.0,2025-12-18,24.378,,0.0,31.33,0.0,1,40.0,0.0,f,t,
66,7501064199141,Media Stella Artois,U,20.91,26.0,8,-1,339912160,25.0,,,0.0,0.0,2025-07-31,24.342,,23.0,0.0,0.0,1,26.0,25.0,f,t,
67,7501064198168,Media Ultra,U,14.56,20.0,8,-1,339912160,22.0,,,0.0,0.0,2025-12-18,37.363,,0.0,13.83,0.0,1,20.0,22.0,f,t,
68,6MU,6 Media Ultra,U,90.49,110.0,8,-1,339912160,115.0,,,0.0,0.0,2026-03-09,21.56,,105.0,87.49,120.0,1,110.0,115.0,t,t,
69,7503034941361,Ballena Ultra,U,34.0,44.0,9,-1,339912160,50.0,,,0.0,0.0,,29.412,,53.0,0.0,58.0,1,44.0,50.0,f,t,
70,7501064199172,Ballena Stella Artois,U,44.41,53.0,9,-1,339912160,58.0,,,0.0,0.0,,19.34,,0.0,0.0,0.0,1,53.0,58.0,f,t,
71,75030575,Media Barrilito,U,12.13,16.0,8,-1,339912160,18.0,,,0.0,0.0,2025-12-18,31.904,,15.0,12.33,17.0,1,16.0,18.0,f,t,
72,6MB,6 Media Barrilito,U,72.78,88.0,8,-1,339912160,95.0,,,0.0,0.0,2025-12-18,20.91,,85.0,72.75,0.0,1,88.0,95.0,t,t,
73,7503044233616,Laton Vicky Sabores,U,20.29,30.0,7,-1,339912160,35.0,,,0.0,0.0,2025-12-18,47.856,,35.0,19.0,38.0,1,30.0,35.0,f,t,
74,744607840804,Bote New Mix Paloma,U,20.5,25.0,7,-1,339912160,28.0,,,0.0,0.0,,21.951,,0.0,0.0,0.0,1,25.0,28.0,f,t,
75,744607002691,Laton New Mix Paloma,U,25.5,30.0,7,-1,339912160,33.0,,,0.0,0.0,,17.647,,0.0,0.0,0.0,1,30.0,33.0,f,t,
76,7503024460483,Bote Victoria 330ml,U,12.88,20.0,7,-1,339912160,22.0,,,0.0,0.0,2025-12-18,55.28,,0.0,11.0,0.0,1,20.0,22.0,f,t,
77,6BV,6 Bote Victoria 330ml,U,83.0,98.0,7,-1,339912160,95.0,,,0.0,0.0,2026-03-09,18.07,,90.0,77.25,0.0,1,98.0,95.0,t,t,
78,7501064115400,Media Corona Golden,U,12.7,19.0,8,-1,339912160,22.0,,,0.0,0.0,2025-07-04,49.606,,0.0,0.0,0.0,1,19.0,22.0,f,t,
79,24MV,24 Media Victoria,U,304.8,420.0,8,-1,339912160,430.0,,,0.0,0.0,,37.8,,0.0,0.0,0.0,1,420.0,430.0,t,t,
80,7501064194146,Mofle Victoria,U,28.41,38.0,7,-1,339912160,42.0,,,0.0,0.0,,33.756,,0.0,0.0,0.0,1,38.0,42.0,f,t,
81,7501064191909,Ballenon Victoria,U,36.41,45.0,9,-1,339912160,50.0,,,0.0,0.0,,23.592,,0.0,0.0,0.0,1,45.0,50.0,f,t,
82,7501053670569,Vina Real Sabores,U,19.84,27.0,5,-1,339912160,30.0,,,0.0,0.0,,36.089,,0.0,0.0,0.0,1,27.0,30.0,f,t,
83,6648040012900,Sky Vodka Sabores,U,25.85,32.0,5,-1,339912160,35.0,,,0.0,0.0,2025-12-24,23.791,,32.5,25.8462,0.0,1,32.0,35.0,f,t,
84,7501032485030,Caribe Cooler Sabores,U,21.83,28.0,5,-1,339912160,32.0,,,0.0,0.0,,28.264,,0.0,0.0,0.0,1,28.0,32.0,f,t,
85,7501058615565,Agua Nestle 500ml,U,4.62,7.0,10,-1,339912160,0.0,,,0.0,0.0,2025-07-04,51.515,,0.0,0.0,0.0,1,7.0,0.0,f,t,
86,7501059215764,Agua Nestle 1L,U,7.0,12.0,10,-1,339912160,0.0,,,0.0,0.0,,71.429,,0.0,0.0,0.0,1,12.0,0.0,f,t,
87,7501125104268,Electrolit Sabores,U,18.19,25.0,10,-1,339912160,0.0,,,0.0,0.0,,37.438,,0.0,0.0,0.0,1,25.0,0.0,f,t,
88,7506192507349,Amper,U,14.87,21.0,10,-1,339912160,0.0,,,0.0,0.0,2025-03-06,41.224,,20.0,14.8726,0.0,1,21.0,0.0,f,t,
89,7503027753650,Volt,U,14.0,23.0,10,-1,339912160,0.0,,,0.0,0.0,2025-03-08,64.286,,19.0,0.0,0.0,1,23.0,0.0,f,t,
90,7501059200777,Agua Nestle 1.5L,U,9.03,15.0,10,-1,339912160,0.0,,,0.0,0.0,,66.113,,0.0,0.0,0.0,1,15.0,0.0,f,t,
91,7501059200012-GkZQEw,Agua Sta. Maria 1.5lt,U,9.41,15.0,10,-1,339912160,0.0,,,0.0,0.0,2025-07-04,59.405,,0.0,0.0,0.0,1,15.0,0.0,f,t,2025-07-04 13:11:43
108,7432354,BubuLubu Ricolino 35g,U,8.2603,12.0,12,-1,295820032,0.0,,,0.0,0.0,2025-03-07,45.273,,11.0,0.0,0.0,1,12.0,0.0,f,t,
109,7501030426264,Pikaros Ricolino 16,U,2.72,5.0,12,-1,295820032,0.0,,,0.0,0.0,,83.824,,0.0,0.0,0.0,1,5.0,0.0,f,t,
92,PIPA,Pipa Cristal,U,20.0,40.0,6,-1,339912160,45.0,,,0.0,0.0,,100.0,,0.0,0.0,0.0,1,40.0,45.0,f,t,
93,30,Caja Cigarros Eco,U,31.0,40.0,6,-1,339912160,43.0,,,0.0,0.0,2026-01-03,29.03,,0.0,27.0,0.0,1,40.0,43.0,t,t,
94,CSE,Cigarro Suelto Eco,U,1.55,4.0,6,-1,339912160,5.0,,,0.0,0.0,2026-01-03,158.065,,5.0,1.4589,0.0,1,4.0,5.0,f,t,
95,AGS,Aguas De Sabores,U,13.0,20.0,10,-1,339912160,0.0,,,0.0,0.0,2025-07-27,53.846,,18.57,0.0,0.0,1,20.0,0.0,f,t,
96,PRECO-LtrqKgnRNbetNH,Promo 2x8 Eco,U,2.7,8.0,6,-1,339912160,0.0,,,0.0,0.0,2024-09-16,196.3,,4.0,0.0,0.0,1,8.0,0.0,t,t,2025-04-14 22:19:24
97,8348100025670,Encendedor Eco,U,5.0,10.0,6,-1,339912160,0.0,,,0.0,0.0,,100.0,,0.0,0.0,0.0,1,10.0,0.0,f,t,
98,3086123397859,Encendedor Bic,U,16.6399,30.0,6,-1,339912160,0.0,,,0.0,0.0,,80.29,,32.0,0.0,0.0,1,30.0,0.0,f,t,
110,7503030374552,Paleta Tarrito,U,1.98,4.0,12,-1,295820032,0.0,,,0.0,0.0,,102.02,,0.0,0.0,0.0,1,4.0,0.0,f,t,
111,75043360,Chicloso,U,1.16,3.0,12,-1,295820032,0.0,,,0.0,0.0,,158.621,,0.0,0.0,0.0,1,3.0,0.0,f,t,
112,CHUT,Chutazos,U,3.85,5.0,12,-1,295820032,0.0,,,0.0,0.0,,29.87,,0.0,0.0,0.0,1,5.0,0.0,f,t,
113,5000299628355,Ballantines Wild Berry,U,264.06,340.0,5,-1,295820032,0.0,,,0.0,0.0,,28.76,,0.0,0.0,0.0,1,340.0,0.0,f,t,
114,7312040553006,Absolut Smoky Piña,U,209.3,320.0,5,-1,295820032,340.0,,,0.0,0.0,2025-05-23,52.891,,0.0,0.0,0.0,1,320.0,340.0,f,t,
115,7640175660437,Tequila Cazadores,U,258.3,340.0,5,-1,295820032,350.0,,,0.0,0.0,,31.63,,0.0,0.0,0.0,1,340.0,350.0,f,t,
116,5000267190525,Etiqueta Dorada,U,335.3,480.0,5,-1,295820032,500.0,,,0.0,0.0,,43.16,,0.0,0.0,0.0,1,480.0,500.0,f,t,
117,736040011064,Hpnotiq,U,552.0,780.0,5,-1,295820032,780.0,,,0.0,0.0,2025-12-28,41.304,,750.0,0.0,850.0,1,780.0,780.0,f,t,
118,7312040017010,Vodka Absolut ,U,218.41,355.0,5,-1,295820032,375.0,,,0.0,0.0,,62.54,,0.0,0.0,0.0,1,355.0,375.0,f,t,
119,7610113001387,Ron Bacardi 8,U,594.3,850.0,5,-1,295820032,870.0,,,0.0,0.0,,43.025,,0.0,0.0,0.0,1,850.0,870.0,f,t,
120,5011013100156,Baileys,U,283.5,450.0,5,-1,295820032,460.0,,,0.0,0.0,,58.73,,0.0,0.0,0.0,1,450.0,460.0,f,t,
121,5000299626238,Chivas Regal 13,U,685.8,1100.0,5,-1,295820032,1150.0,,,0.0,0.0,,60.397,,0.0,0.0,0.0,1,1100.0,1150.0,f,t,
122,8000570435402,Vino Espumoso Martini,U,360.5,520.0,5,-1,295820032,540.0,,,0.0,0.0,,44.24,,0.0,0.0,0.0,1,520.0,540.0,f,t,
123,X002UNJ6PL,Vino Tinto Toro Piedra,U,379.0,440.0,5,-1,295820032,450.0,,,0.0,0.0,,16.095,,0.0,0.0,0.0,1,440.0,450.0,f,t,
